title,artist,album,isrc,genre
Lips Like Sugar,Echo And The Bunnymen,Echo & The Bunnymen  ,GBAHT0003955,Rock > Post-Punk
Lithium,Nirvana,Nevermind,USGF19942505,Rock > Grunge
Live And Let Die,Guns N' Roses,Use Your Illusion I,USGF19141503,Rock > Hard Rock > Hard Rock (Standard)
Live Bed Show,Pulp,Different Class,GBAAN9500146,Rock > Indie Rock
Livin' On A Prayer,Bon Jovi,Slippery When Wet,USPR38619998,Rock > Hard Rock > Power Ballad
Llegaste Tú,Adriana Lucia,De Corazón a Corazón,COFC10183701,Roots > Folk > Latin Folk > Vallenato
Llore,Conjunto Oro,Quiero Que Me Abraces,BK4DA2464845,Roots > Regional Mexicano > Norteño
Llévame En Tus Sueños,Various Interprets,Llévame En Tus Sueños,COS010100099,Roots > Folk > Latin Folk > Vallenato
Lo Dudo,Jumbo,Un Tributo,MXF019800954,Rock > Indie Rock
Lo Que Queda De Ti,LMT,Una Nueva Historia,MXUM71001604,Roots > Regional Mexicano > Texano
Loco,Pesado,Todo tuyo,MXF160000274,Roots > Regional Mexicano > Norteño
Lonely Boy,The Black Keys,El Camino,USNO11500536,Rock > Blues Rock
Los Caminos De La Vida,Los Diablitos,Sorpresa Caribe,COC019321633,Roots > Folk > Latin Folk > Vallenato
Losing My Religion,R.E.M.,Out Of Time,USC4R1605373,Rock > Folk Rock
Lost In Love,Air Supply,Lost in Love,USAR18000001,Rock > Soft Rock
Lost in the Plot,The Dears,No Cities Left,CA71A1500082,Rock > Indie Rock
Lounge Act,Nirvana,Nevermind,USGF19942509,Rock > Grunge
Love Fade,Tamaryn,The Waves,USMEX1000118,Rock > Psychedelic Rock
Love My Way,The Psychedelic Furs,Pure... Electronic 80s,GBBBN0102488,Rock > Post-Punk
Love Song,311,Greatest Hits '93 - '03,USVR10400026,Rock
Love Will Tear Us Apart ,Joy Division,Love Will Tear Us Apart ,GBAHT2000137,Rock > Post-Punk
Lovesong,The Cure,Disintegration,GBALB8900003,Rock > Post-Punk
Lucha De Gigantes,Nacha Pop,Chica de ayer y otras canciones que consiguen que te pueda amar - Colección Definitiva,ES5700300296,Rock > Indie Rock
Lucky,Radiohead,OK Computer OKNOTOK 1997 2017,GBBKS1700194,Rock > Psychedelic Rock
Luna,Zoé,MTV Unplugged Música De Fondo,MXF061100015,Rock > Psychedelic Rock
Luna de Miel,La Tropa f,Luna de Miel,QZW9K2399420,Roots > Regional Mexicano > Texano
Luna de Miel (Live),La Tropa f,Live & Reloaded,USHM81606872,Roots > Regional Mexicano > Texano
Maldito Orgullo,El Poder Del Norte,Aquí Están!..,MXUM70800995,Roots > Regional Mexicano > Norteño
"Mama, I'm Coming Home",Ozzy Osbourne,No More Tears,USSM19100017,Rock > Hard Rock > Power Ballad
Man On The Moon,R.E.M.,Automatic For The People,USC4R1700247,Rock > Indie Rock
Man in the Box,Alice In Chains,Facelift,USSM19000727,Rock > Grunge
Manantial de Amor,Binomio De Oro De América,Seguimos Por Lo Alto,COC019723264,Roots > Folk > Latin Folk > Vallenato
Mandato Divino,Los Cadetes De Linares,Boleros Musicales,QM6DC1879871,Roots > Regional Mexicano > Norteño
Mariposa Traicionera ,Mana,Revolución De Amor ,MXF151900204,Rock > Soft Rock
Marquee Moon (Edit),Television,Marquee Moon (Edit),USEE10300236,Rock > Post-Punk
Mary Lee,Los Traileros Del Norte,Grandes Éxitos Remezclados Y Remasterizados,MXUM70801505,Roots > Regional Mexicano > Norteño
