title,title_version,artist,album,album_version,isrc,genre
Loser,,Beck,Mellow Gold,,USGF19463401,
Abrázame Y Bésame,En Vivo,Bobby Pulido,Abrázame Y Bésame,En Vivo,MXUM72501515,
Abrázame Y Bésame,En Vivo,Bobby Pulido,Bobby Pulido & Friends Una Tuya Y Una Mía,Vol.2/En Vivo,MXUM72501515,
Loser,,Beck,Mellow Gold,,USGF19463401,
