ISRC,Id Titulo,Título,Versión del título,Id Artista,Artista,Disco,Tipo Disco,Versión del disco,maximum_bit_depth,maximum_sampling_rate,maximum_channel_count,Es favorito
USTC30737306,125432992,Nuestra Canción,,170804,La Mafia,Nuevamente,Studio,,24,44.1,2,False
MXF152500235,313934587,Nunca Niegues Que Te Amo,,3634604,Los Inquietos Del Vallenato,Vallenatos Norteños,Studio,,24,48.0,2,False
USTC30737281,125432997,Qué Haré Yo,,170804,La Mafia,Nuevamente,Studio,,24,44.1,2,False
FR10S2221773,144098374,Sexo Pudor y Lagrimas,Banda Sonora De la Película,68081,Aleks Syntek,Sexo Pudor y Lagrimas,Studio,Banda Sonora De la Película,24,48.0,2,False
QZHZ62056777,159077870,Sirena Encantada,,239331,Miguel Morales,Miguel Morales Concierto Online,Studio,,24,48.0,2,False
USZXT2350762,203339149,Sit Down,Orchestral Version,45297,James,Be Opened By The Wonderful,Studio,Orchestral Version,24,48.0,2,False
GBAAP2400106,269290979,Smalltown Boy ,ABSOLUTE. Rework,409561,Bronski Beat,Smalltown Boy ,Studio,ABSOLUTE. Rework,24,44.1,2,False
CAN112201228,187374260,Swing Lynn,Sped Up Version,4474617,Harmless,Swing Lynn,Studio,Sped Up Version,24,48.0,2,False
USRC11701291,42260155,Take It or Leave It ,Unpeeled,111979,Cage The Elephant,Unpeeled,Studio,Unpeeled,24,48.0,2,False
USUM71310619,11801006,The Man Who Sold The World,Live & Loud,46708,Nirvana,In Utero,Live,20th Anniversary Super Deluxe,24,44.1,2,False
MXF012000302,112167335,Tú Sí Sabes Quererme ,TSSQ  - Michel Cleis RMX,148515,Natalia Lafourcade,Tú Sí Sabes Quererme ,Studio,TSSQ  - Michel Cleis RMX,24,48.0,2,False
MXF012100061,121480814,Tú Sí Sabes Quererme,,148515,Natalia Lafourcade,"Un Canto por México, Vol. II",Studio,,24,48.0,2,False
FR2X42535319,354841994,Un Beso,,925981,Duelo,Colección Acústica Vol.1,Studio,,24,48.0,2,False
FR2X42535318,354841993,Un Minuto Mas,,925981,Duelo,Colección Acústica Vol.1,Studio,,24,48.0,2,False
FR2X42535316,354841991,Viviendo En Mi,,925981,Duelo,Colección Acústica Vol.1,Studio,,24,48.0,2,False
DELV42000635,387783621,Wind of Change,,62488,Scorpions,From The First Sting,Studio,,24,44.1,2,False
QZMZ92126668,152096152,Y Qué,,2331925,Inspector,"A2Í 5Uena!, Vol 2",Studio,,24,48.0,2,False
QZMZ92126668,153437372,Y Qué,,2331925,Inspector,Y Qué,Studio,,24,48.0,2,False
MX5332500222,340259632,Y Que ,Sonando desde el Auditorio Nacional,2331925,Inspector,Y Que ,Studio,Sonando Desde El Auditorio Nacional,24,48.0,2,False
MX5332500222,359774607,Y Que ,Sonando desde el Auditorio Nacional,2331925,Inspector,Sonando desde el Auditorio Nacional,Studio,,24,48.0,2,False
USV128900001,34877009,You Got It,,23781,Roy Orbison,The Ultimate Collection,Studio,,24,44.1,2,False
USSM11704875,43314604,You Got It,,23781,Roy Orbison,A Love So Beautiful: Roy Orbison & The Royal Philharmonic Orchestra,Studio,,24,96.0,2,False
USGF18714810,51037038,You're Crazy,,54838,Guns N' Roses,Appetite For Destruction,Studio,Deluxe Edition,24,192.0,2,False
USGF18714810,51041299,You're Crazy,,54838,Guns N' Roses,Appetite For Destruction (Super Deluxe) - 192 kHz,Studio,Super Deluxe,24,192.0,2,False
USGF18819807,51041310,You're Crazy,,54838,Guns N' Roses,Appetite For Destruction (Super Deluxe) - 192 kHz,Studio,Super Deluxe,24,192.0,2,False
USUM71803907,51041320,You're Crazy,1986 Sound City Session,54838,Guns N' Roses,Appetite For Destruction (Super Deluxe) - 192 kHz,Studio,Super Deluxe,24,192.0,2,False
